886: 현대시장(현대상가시장) | Type: 상설장 | Addr: 충청남도 보령시 대흥로 16 | Lat/Lon: 36.34891076,126.5969368 | Cycle: 매일
894: 서산동부전통시장(동부시장) | Type: 상설장 | Addr: 충청남도 서산시 시장5로 15 | Lat/Lon: 36.78181899,126.4564432 | Cycle: 매일
897: 둔포전통시장(둔포시장) | Type: 상설장 | Addr: 충청남도 아산시 둔포면 둔포면로 25번길 15 | Lat/Lon: 36.92946679,127.0360407 | Cycle: 2일+7일
898: 온양온천시장(온양전통시장) | Type: 상설장+4일장 | Addr: 충청남도 아산시 시장길 29 | Lat/Lon: 36.78329506,127.0042346 | Cycle: 4일+9일
909: 중앙로상점가 | Type: 상설장 | Addr: 제주특별자치도 제주시 중앙로 91 | Lat/Lon: 33.51010018,126.523959 | Cycle: 매일
911: 동문시장(주) | Type: 상설장 | Addr: 제주특별자치도 제주시 동문로 16 | Lat/Lon: 33.51279665,126.5283141 | Cycle: 매일
912: 제주칠성로상점가(칠성로상점가) | Type: 상설장 | Addr: 제주특별자치도 제주시 관덕로 13길 12 | Lat/Lon: 33.51402881,126.5261117 | Cycle: 매일
915: 한림민속오일시장(한림오일시장) | Type: 4일장 | Addr: 제주특별자치도 제주시 한림읍 한수풀로4길 10 | Lat/Lon: 33.41983074,126.2745011 | Cycle: 4일+9일
921: 금산수삼센타 | Type: 상설장 | Addr: 충청남도 금산군 금산읍 인삼약초로 24 | Lat/Lon: 36.10015574,127.4964497 | Cycle: 2일+7일
922: 금산금빛시장(금산시장) | Type: 상설장 | Addr: 충청남도 금산군 금산읍 금산천길 98 | Lat/Lon: 36.09951247,127.490976 | Cycle: 2일+7일
923: 금산국제인삼시장(금산인삼국제시장) | Type: 상설장 | Addr: 충청남도 금산군 금산읍 인삼약초로 45 | Lat/Lon: 36.10191794,127.4983403 | Cycle: 매일
924: 중부프라자 | Type: 상설장 | Addr: 충청남도 금산군 금산읍 비범로 19 | Lat/Lon: 36.10453057,127.4910218 | Cycle: 매일
943: 굴비골영광시장(구 영광매일시장) | Type: 상설장 | Addr: 전라남도 영광군 영광읍 중앙로3길 5-22 | Lat/Lon: 35.27513263,126.5123207 | Cycle: 매일
955: 군산수산물종합센터 | Type: 상설장 | Addr: 전북특별차치도 군산시 내항2길 216 | Lat/Lon: 35.99398004,126.7047377 | Cycle: 매일
956: 원평공설시장(김제원평시장) | Type: 상설장+4일장 | Addr: 전북특별차치도 김제시 금산면 원평6길 39-10 | Lat/Lon: 35.71406176,126.9947286 | Cycle: 4일+9일
964: 무풍시장(대덕산장터) | Type: 상설장+3일장 | Addr: 전북특별차치도 무주군 무풍면 현내로 213 | Lat/Lon: 35.96945032,127.8487964 | Cycle: 3일+8일
965: 설천시장(삼도봉장터) | Type: 상설장 | Addr: 전북특별차치도 무주군 설천면 삼도봉로 11 | Lat/Lon: 36.0099056,127.7880133 | Cycle: 2일+7일
966: 안성시장(덕유산장터) | Type: 상설장+5일장 | Addr: 전북특별차치도 무주군 안성면 칠연로 38 | Lat/Lon: 35.86627446,127.6535366 | Cycle: 5일+10일
972: 부평문화의거리 | Type: 상설장 | Addr: 인천광역시 부평구 부평문화로 78-2 | Lat/Lon: 37.49408359,126.7250106 | Cycle: 매일
976: 익산장(익산북부장) | Type: 상설장+4일장 | Addr: 전북특별차치도 익산시 인북로 11길 27 | Lat/Lon: 35.9512294,126.9567719 | Cycle: 4일+9일
1011: 미로예술원주중앙시장(원주중앙시장) | Type: 상설장 | Addr: 강원특별자치도 원주시 중앙시장길 6 | Lat/Lon: 37.35000952,127.9491994 | Cycle: 매일
1018: 고한구공탄시장(고한시장) | Type: 상설장 | Addr: 강원특별자치도 정선군 고한읍 고한 4길 38-6 | Lat/Lon: 37.20132076,128.8540526 | Cycle: 매일
1028: 서부시장상점가(서부시장 통합) | Type: 상설장 | Addr: 전북특별차치도 전주시 완산구 효동 2길 14-8 | Lat/Lon: 35.80524873,127.1266694 | Cycle: 매일
1032: (주)서시장 | Type: 상설장 | Addr: 전라남도 여수시 좌수영로 16-6 | Lat/Lon: 34.74178725,127.7286168 | Cycle: 매일
1047: 완도전통시장(구 완도5일시장) | Type: 상설장 | Addr: 전라남도 완도군 완도읍 개포로 34-1 | Lat/Lon: 34.31610369,126.7482543 | Cycle: 매일
1048: 완도남양시장(구 완도종합시장) | Type: 5일장 | Addr: 전라남도 완도군 완도읍 개포로56번길 16-4 | Lat/Lon: 34.31651727,126.7477207 | Cycle: 5일+10일
1054: 대덕읍전통시장(대덕시장) | Type: 상설장+5일장 | Addr: 전라남도 장흥군 대덕읍 거정2길 10 | Lat/Lon: 34.49944415,126.8871414 | Cycle: 5일+10일
1067: 녹차골보성향토시장(보성읍5일시장) | Type: 상설장 | Addr: 전라남도 보성군 보성읍 현충로 42-1 | Lat/Lon: 34.76564839,127.0772384 | Cycle: 2일+7일
1073: 웃장 | Type: 상설장+5일장 | Addr: 전라남도 순천시 북문길 40 | Lat/Lon: 34.95864147,127.4850305 | Cycle: 5일+10일
